ticker,entry_date,exit_date,entry_price,exit_price,return_pct,hasil_rp,exit_reason,menang,hold_hari
DSNG,2025-12-11,2025-12-12,1380.0,1421.0,2.5,325598.0,TP,True,1
PGLI,2025-12-11,2025-12-12,302.0,296.0,-2.5,-325598.0,SL,False,1
LSIP,2025-12-11,2025-12-12,1115.0,1148.0,2.5,325598.0,TP,True,1
CARE,2025-12-10,2025-12-15,580.0,597.0,2.5,324247.0,TP,True,3
UNSP,2025-12-12,2025-12-15,318.0,328.0,2.5,328305.0,TP,True,1
SAFE,2025-12-12,2025-12-15,418.0,410.0,-2.5,-328305.0,SL,False,1
NRCA,2025-12-12,2025-12-15,1965.0,2024.0,2.5,328305.0,TP,True,1
VKTR,2025-12-12,2025-12-15,680.0,700.0,2.5,328305.0,TP,True,1
UNSP,2025-12-15,2025-12-16,348.0,358.0,2.5,332392.0,TP,True,1
COCO,2025-12-15,2025-12-16,322.0,332.0,2.5,332392.0,TP,True,1
SIPD,2025-12-15,2025-12-16,1070.0,1102.0,2.5,332392.0,TP,True,1
UANG,2025-12-15,2025-12-16,4500.0,4635.0,2.5,332392.0,TP,True,1
PTIS,2025-12-15,2025-12-17,344.0,354.0,2.5,332392.0,TP,True,2
VIVA,2025-12-16,2025-12-17,52.0,54.0,2.5,337932.0,TP,True,1
